Ref,Val,Package,PosX,PosY,Rot,Side
C1,10nF,C_0603_1608Metric,102.25,-107,270,top
C2,1nF,C_0603_1608Metric,125.5,-83.312,90,top
C3,150pF,C_0603_1608Metric,123.75,-78,90,top
C4,10uF,CP_Elec_4x5.4,102.85,-80.5,270,top
C5,47nF,C_0603_1608Metric,137.75,-73,0,top
C6,1uF,CP_Elec_4x5.4,142.25,-96,270,top
C7,1uF,CP_Elec_4x5.4,162.65,-80.5,270,top
C8,47nF,C_0603_1608Metric,137.75,-107,90,top
C9,10nF,C_0603_1608Metric,142.75,-107,270,top
C10,150pF,C_0603_1608Metric,127.25,-78,90,top
C100,100uF,CP_Elec_6.3x5.3,174.65,-80.5,270,top
C101,10uF,CP_Elec_4x5.4,123.25,-96,270,top
C102,100uF,CP_Elec_6.3x5.3,90.85,-80.5,270,top
C103,100nF,C_0603_1608Metric,122.75,-107,90,top
D1,1N914BWS,D_SOD-323F,150.25,-73,180,top
D2,1N914BWS,D_SOD-323F,115.25,-73,0,top
IC1,CD4013BM96,SOIC-14_3.9x8.7mm_P1.27mm,132.75,-96,90,top
Q1,MMBT3904,SOT-23,97.25,-96,270,top
Q2,MMBT3904,SOT-23,132.75,-107,270,top
Q3,MMBT3904,SOT-23,168.25,-96,270,top
R1,2.2M,R_0603_1608Metric,92.25,-107,90,top
R2,150K,R_0603_1608Metric,97.25,-107,270,top
R3,1M,R_0603_1608Metric,102.25,-96,90,top
R4,470K,R_0603_1608Metric,107.25,-107,270,top
R5,1K,R_0603_1608Metric,127.75,-73,0,top
R6,56K,R_0603_1608Metric,132.75,-83.5,180,top
R7,1M,R_0603_1608Metric,138.25,-78,90,top
R8,10K,R_0603_1608Metric,141.75,-78,270,top
R9,56K,R_0603_1608Metric,107.25,-96,270,top
R10,10K,R_0603_1608Metric,92.25,-96,270,top
R11,10K,R_0603_1608Metric,140,-83.5,270,top
R12,1M,R_0603_1608Metric,140,-89,270,top
R13,56K,R_0603_1608Metric,163.25,-96,90,top
R14,56K,R_0603_1608Metric,158.25,-96,270,top
R15,56K,R_0603_1608Metric,158.25,-107,90,top
R16,56K,R_0603_1608Metric,163.25,-107,270,top
R17,56K,R_0603_1608Metric,168.25,-107,270,top
R18,56K,R_0603_1608Metric,173.25,-107,270,top
R19,56K,R_0603_1608Metric,173.25,-96,90,top
R20,1M,R_0603_1608Metric,127.75,-107,270,top
R101,56K,R_0603_1608Metric,130.25,-89,180,top
R102,56K,R_0603_1608Metric,135.25,-89,180,top
R103,330R,R_0603_1608Metric,125.5,-89,90,top
U1,RC4558DRG4,SOIC-8_3.9x4.9mm_P1.27mm,132.75,-78,0,top
